Year,Usage
1949,4460.434
1950,4829.337
1951,5104.476
1952,5158.193
1953,5052.515
1954,5262.307
1955,5607.812
1956,5839.383
1957,5743.9
1958,6125.37
1959,6188.311
1960,6650.835
1961,6775.61
1962,7079.711
1963,7089.813
1964,7111.751
1965,7279.422
1966,7500.386
1967,7711.36
1968,7932.745
1969,8242.797
1970,8322.406
1971,8427.451
1972,8627.379
1973,8225.308
1974,7907.91
1975,7989.629
1976,8391.135
1977,8193.619
1978,8259.943
1979,7918.91
1980,7439.405
1981,7045.285
1982,7146.587
1983,6831.823
1984,7210.899
1985,7148.219
1986,6906.19
1987,6923.374
1988,7356.785
1989,7566.171
1990,6556.428
1991,6745.778
1992,6949.119
1993,7144.96
1994,6976.233
1995,6934.049
1996,7464.004
1997,7030.243
1998,6410.425
1999,6771.791
2000,7155.591
2001,6863.77
2002,6906.777
2003,7232.351
2004,6986.583
2005,6900.676
2006,6154.405
2007,6588.823
2008,6888.713
2009,6632.712
2010,6540.352
2011,6391.687
2012,5672.28
2013,6704.59
2014,6989.953
2015,6358.889
2016,6082.742